name,actual price,current price,rating,reviews
Soundpeats H1 Wireless Earbuds,"Rs  17,000","Rs  14,199",4.8,11
Soundpeats Air 5 Bluetooth Headphone,"Rs  21,999","Rs  14,457",5.0,1
Dany Airdots 100,"Rs  4,999","Rs  2,499",4.7,18
YS-9957 Wireless Bluetooth Headphones,"Rs  4,000","Rs  1,699",3.3,3
ASPOR A620 Earbuds Pro 2,"Rs  4,499","Rs  3,449",,
XO X23 TWS Bluetooth Earbuds,"Rs  3,000","Rs  2,299",,
Zero Astro Earbuds,"Rs  14,999","Rs  4,299",4.8,5
Joyroom True Wireless Earbuds (JR-T03S Air),"Rs  6,500","Rs  5,899",,
Lenovo Monster Airmars XKT09,"Rs  6,800","Rs  4,299",3.3,3
Sony Earbuds Wf-C700n,"Rs  39,000","Rs  23,999",,
Faster Solo Wireless Stereo Headphones (S4HD),"Rs  7,000","Rs  5,299",4.7,4
JBL Tune 510BT Wireless Headphone,"Rs  15,000","Rs  10,699",5.0,2
JBL Tune 520BT Wireless Headphones,"Rs  15,000","Rs  10,999",5.0,1
Soundpeats True Wireless Earbuds Air 3 Deluxe,"Rs  11,000","Rs  8,999",4.8,8
Tm20 Stereo True Wireless Earbuds,"Rs  3,000","Rs  1,599",3.0,1
Wireless Bluetooth Headphone,"Rs  2,700","Rs  2,099",,
PHOINIKAS PC Headphone with Microphone,"Rs  6,000","Rs  3,749",,
Tagg Rogue 200GT Wireless Earbuds,"Rs  5,500","Rs  2,749",,
Yolo Yopod Active Plus True Wireless Earbuds,"Rs  7,999","Rs  5,999",,
EarFun Air Wireless Earbuds,"Rs  16,000","Rs  12,199",,
SiGMA wireless Earbuds Tg-1,"Rs  6,900","Rs  4,599",,
Audionic Airbud 450 Wireless Earbuds,"Rs  7,000","Rs  2,959",4.8,13
Tm10 Stereo True Wireless Earbuds,"Rs  4,000","Rs  2,129",,
REMAX RB-S18 In-Ear Wireless Bluetooth V4.2 Earphones,"Rs  3,000","Rs  1,699",,
JBL Headset T720BT Wireless Headphones,"Rs  22,000","Rs  14,999",,
Baseus Bowie WM01 True Wireless Earphones,"Rs  5,000","Rs  3,799",,
Ronin R-7025 Earbuds,"Rs  8,899","Rs  3,999",4.7,3
Haino Teko Air P3 Wireless Earbuds,"Rs  5,500","Rs  4,299",5.0,1
JBL Tune T710BT Wireless Headphone,"Rs  18,000","Rs  13,999",,
DX-02 TWS Earbuds,"Rs  3,500","Rs  2,099",,
Air AAA max Wireless Headset,"Rs  3,000","Rs  2,209",,
Buds Pro Wireless earbuds,"Rs  3,000","Rs  2,499",,
Damix AS-07 TWS Earbuds,"Rs  2,599","Rs  1,299",,
A10 Pro Touchscreen LED Display Earbuds,"Rs  4,000","Rs  2,399",,
MONSTER AIRMARS XKT01 True Wireless Earphones,"Rs  4,499","Rs  3,949",,
Skullcandy Dime 2 Wireless Earbuds,"Rs  12,500","Rs  6,999",,
1HORA True Wireless Circular airphones  (UT119N-100),"Rs  5,800","Rs  2,799",,
CMF Nothing Wireless Earbuds,"Rs  18,000","Rs  10,499",,
NOTHING CMF Buds Pro,"Rs  17,000","Rs  13,999",,
Remax PD-BT630 Airpods 3,"Rs  5,000","Rs  2,649",,
Anker A30i ANC Wireless Bluetooth Earbuds A3958H21,"Rs  9,000","Rs  7,243",5.0,1
M10 TWS Wireless Bluetooth Earbuds,"Rs  2,499",Rs  844,4.7,2511
Amgras future A3 pro,"Rs  4,000","Rs  2,999",,
Ua 11 BT wireless headphones,"Rs  3,000","Rs  2,299",,
Buds 2 True Wireless Bluetooth earbuds,"Rs  3,500","Rs  2,599",,
Lelisu LS-202 Wireless Bluetooth Headphones,"Rs  4,000","Rs  2,699",,
Damix AS-03 TWS Earbuds,"Rs  4,500","Rs  1,499",,
Ys-668 Wireless Bluetooth Headphones,"Rs  3,000","Rs  1,599",,
Baseus Bowie H1 Noise-Cancelling Wireless Headphones,"Rs  19,499","Rs  13,199",,
Joyroom Upgraded Noise Cancelling Earbuds (JR-TA2),"Rs  10,000","Rs  9,299",5.0,1
Joyroom MG-C05 Bluetooth TWS Wireless Headset,"Rs  6,000","Rs  4,999",,
Joyroom Funpods Series JR-FB1 True Wireless Earphones,"Rs  8,600","Rs  6,149",,
Anker Soundcore H30i Wireless Headphones,"Rs  16,000","Rs  9,549",5.0,1
Yolo mercury H2 Wireless Headphone,"Rs  6,999","Rs  5,499",,
Hottu HOT TS12 Wireless Earphone,"Rs  5,000","Rs  3,649",,
Beats Solo Buds,"Rs  40,000","Rs  32,999",,
OnePlus Nord Buds 2r Tws Earbuds,"Rs  11,000","Rs  7,899",,
Soundpeats Opera 05 Wireless Earbuds,"Rs  20,000","Rs  16,799",4.8,1
Mpow MX1 True Wireless Earbuds,"Rs  5,700","Rs  3,149",5.0,2
Haylou X1 Plus Earbuds (T013),"Rs  4,250","Rs  3,549",5.0,2
FASTER S6-HD  Bluetooth  HEADPHONES,"Rs  6,000","Rs  4,399",3.5,2
Aukey TWS Wireless Earbuds (EP-T25),"Rs  4,400","Rs  3,999",4.7,15
XO X17 Space Bluetooth Earbuds,"Rs  4,500","Rs  3,219",5.0,1
XO X34 Starry Sky Flip TWS Bluetooth Earbuds,"Rs  5,000","Rs  2,699",,
LDNIO T03 True Wireless Earbuds,"Rs  5,000","Rs  3,999",,
EarFun Air Mini 2 Wireless Earbuds,"Rs  10,000","Rs  7,199",,
SiGMA Elite Class Sport Headset SBH-1,"Rs  6,000","Rs  4,449",,
1HORA HT47 True Wireless Earphones,"Rs  5,500","Rs  2,899",,
Bose Ultra Open Earbuds,"Rs  91,000","Rs  80,999",,
Remax W22N Cozy Wireless Stereo Earbuds,"Rs  5,000","Rs  3,249",,
Mars MB-8 Wireless Earbuds,"Rs  2,000","Rs  1,699",,
Mcdodo HP-278 Wireless Earbuds,"Rs  6,000","Rs  4,249",,
HiFuture FutureTour Pro Hybrid ANC Wireless Headphones,"Rs  16,000","Rs  14,299",,
Joyroom True Wireless ANC Earbuds (JR-BC1),"Rs  7,500","Rs  7,299",,
Joyroom JR-OH1 Wireless Bluetooth,"Rs  5,000","Rs  4,299",5.0,2
Joyroom Funpods Series JR-FB2 True Wireless Earphones,"Rs  9,000","Rs  6,599",,
Haylou Earbuds Gt1 2023,"Rs  11,000","Rs  4,429",,
Haino teko BD 22 Pro Wireless Earbuds,"Rs  6,000","Rs  3,899",,
OnePlus Buds Pro 3 Wireless Earbuds,"Rs  55,000","Rs  39,999",,
M11 TWS Wireless Bluetooth Earbuds,"Rs  2,599","Rs  1,799",,
Airs Pro TWS Bluetooth Earbuds,"Rs  1,699",Rs  939,4.6,223
I7S Bluetooth Wireless Earbuds,"Rs  1,350",Rs  849,4.7,13
A6s Wireless Bluetooth Earbuds,"Rs  2,999","Rs  1,499",5.0,3
DX-09 RGB Auricular Gaming Earphone,"Rs  3,000","Rs  2,149",,
BQ40 HIFI Sound Quality Fingerprint Touch Earbuds,"Rs  3,000","Rs  1,699",,
Yolo mercury H1 Wireless Headphones,"Rs  8,999","Rs  6,499",,
Aspor A619 TWS Bluetooth Earbuds,"Rs  3,999","Rs  3,149",,
ASPOR A618 Wireless Bluetooth Headset,"Rs  4,000","Rs  3,299",,
XO X20 Square Ring TWS Bluetooth Earbuds,"Rs  3,500","Rs  2,719",5.0,2
XO X13 Magic Ring TWS Bluetooth Earbuds,"Rs  4,000","Rs  3,099",5.0,1
XO G11 Sword Rain Gaming TWS Bluetooth Earbuds,"Rs  6,000","Rs  4,999",,
XO G3 Senmai Wireless Earbuds,"Rs  5,000","Rs  4,499",,
