name,actual price,current price,rating,reviews
MeMobile Grace 10,,"Rs  29,999",,
Memobile XL300,,"Rs  3,499",3.0,1
Dcode Cygnal 3 Pro,,"Rs  19,899",4.9,85
VGO TEL S20,,"Rs  3,899",4.7,9
VGO TEL i14,,"Rs  3,650",5.0,4
VGO TEL iMusic Lite,,"Rs  3,899",5.0,2
XMobile X4,,"Rs  3,499",,
XMobile Jeet,,"Rs  2,799",5.0,1
XMobile X4 Lite,,"Rs  3,999",5.0,1
XMobile X1 Lite,,"Rs  2,399",5.0,1
E-Tachi B105 Lite,,"Rs  2,599",4.9,6
E-Tachi B555,,"Rs  2,199",5.0,3
E-tachi Star One,,"Rs  3,899",,
Club Mobile A3000,,"Rs  3,399",4.6,4
Club Mobile Rainbow 5000,,"Rs  3,369",5.0,1
Sparx Ultra 8,,"Rs  29,199",,
Honor X5,,"Rs  15,499",4.8,32
Villaon V112,,"Rs  2,399",5.0,1
QMobile SL100,,"Rs  3,880",,
QMobile Music Ka Sultan,,"Rs  3,799",,
Qmobile QGuru Plus,,"Rs  2,099",4.8,19
Qmobile Q150,,"Rs  2,649",4.8,2
Qmobile Q150,,"Rs  2,649",4.8,2
Nokia 105,,"Rs  5,549",4.9,18
Nokia 110 2022,,"Rs  7,999",,
Nokia C22,,"Rs  22,999",4.4,4
Samsung Galaxy A14,,"Rs  35,999",4.9,382
Apple iPhone 14 Pro,,"Rs  505,999",4.5,6
Apple iPhone 15 Pro,,"Rs  399,999",5.0,1
Infinix Hot 30,,"Rs  30,099",4.9,188
Oppo A58,,"Rs  43,999",4.9,24
Xiaomi Redmi A2 Plus,,"Rs  19,999",4.9,541
Poco X6 Pro 5G,,"Rs  122,099",4.9,49
Poco F6,,"Rs  131,999",4.7,5
Poco F6 Pro,,"Rs  169,999",5.0,1
Vivo Y27s,,"Rs  40,099",4.9,24
Realme C53,,"Rs  30,099",4.9,99
Tecno Phantom V Flip 2 5G,,"Rs  104,999",,
Dcode Cypher,,"Rs  24,999",4.6,7
Dcode Cygnal 2 Lite,,"Rs  15,299",4.5,12
VGO TEL New 22,,"Rs  17,999",4.7,37
VGO TEL i102,,"Rs  2,599",,
VGO-TEL V5310,,"Rs  4,699",,
